"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1974 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1975 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1976 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1977 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1978 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1979 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1980 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1981 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1982 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1983 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1984 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1985 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1986 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1987 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1988 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1989 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1990 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1991 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1992 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1993 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1994 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1995 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1996 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1997 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1998 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1999 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2000 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2001 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2002 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2003 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2004 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2005 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2006 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2007 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2008 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2009 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2010 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2011 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2012 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2013 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2014 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2015 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2016 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2017 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2018 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2019 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2020 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2021 (R$ mil)"
"Palmeira das Miss�es","4313706","-27.900600000000","-53.313400000000","442","1.764","1.603","2.041","700","864","11.200","20.821","20.280","66.960","238.800","1.356","405","1.290","40.268","878","24.061","38.785","1.289.211","10.201","170","208","33","128","239","252","265","263","263","375","1.188","270","480","478","480","180","416","-","-","-","-","-","-","-","-","-","-","-"
"Palmitinho","4313805","-27.359600000000","-53.558000000000","10","135","150","1.558","-","-","4.320","3.360","5.600","9.900","25.300","220","414","720","3.218","100","10.688","0","92.036","1.093","9","18","17","21","27","28","40","33","33","107","62","66","66","63","58","34","18","23","-","-","-","-","-","-","-","2","2","3"
"Panambi","4313904","-28.283300000000","-53.502299999990","412","990","1.056","1.221","288","1.530","3.800","2.876","8.150","25.210","65.280","329","648","523","4.694","40","1.547","0","105.379","2.706","10","34","5","19","43","15","12","12","15","33","31","3","11","5","4","7","7","5","-","-","-","-","-","-","-","-","-","-"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9.900","385.000","1.398.400","9.517.200","553.419","2.997","3.726","3.300","3.750","4.026","7.447","4.965","5.349","7.440","10.800","16.390","11.007","10.050","10.050","14.300","15.400","16.335","21.924","19.827","20.840","20.251","23.111","20.245","28.509","22.960","30.404","35.289","70.743"
"Para�","4314001","-28.596399999990","-51.789600000000","151","225","360","316","257","248","2.192","3.936","2.686","9.630","25.920","95","243","451","3.870","45","1.391","1.440","77.220","1.560","14","10","6","2","2","3","2","2","1","1","1","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Para�so do Sul","4314027","-29.671700000000","-53.143999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7.659","201.332","902.256","7.272.583","242.100","2.202","2.589","3.042","2.871","3.247","4.804","3.361","4.921","8.396","11.071","12.982","4.267","8.744","10.136","15.148","15.636","11.826","11.917","12.419","18.357","18.229","19.380","16.941","21.159","21.084","20.239","20.701","42.675"
"Pareci Novo","4314035","-29.636500000000","-51.397399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","80","1","1","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Parob�","4314050","-29.624300000000","-50.831200000000","...","...","...","...","...","...","...","...","...","4.154","30.422","170","176","490","-","85","1.320","6.383","49.689","1.260","9","12","1","10","1","1","-","-","1","27","79","25","28","31","36","49","77","44","45","106","185","-","-","-","-","-","-","-"
"Passa Sete","4314068","-29.457699999990","-52.959899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","11","15","12","10","16","20","30","13","3","17","6","-","7","-","-","-","-","-","-","-","-","-","-","-","-"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","66.864","293","445","525","612","1.211","1.263","1.130","1.270","2.462","2.315","2.657","1.356","1.411","1.445","780","1.032","3.114","3.887","3.445","3.224","3.172","3.692","4.060","2.820","2.591","3.471","4.527","7.785"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","212","1.209","477","2.822","360","900","4.788","16.200","41.462","123.170","282.240","979","1.300","6.066","25.676","226","7.800","17.930","394.922","6.144","45","49","23","53","89","24","27","52","42","57","38","3","15","20","21","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Paulo Bento","4314134","-27.697800000000","-52.426099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3","2","2","1","-","4","1","2","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Paverama","4314159","-29.548500000000","-51.733899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","659","3.900","23.920","445","7","7","3","1","3","-","-","-","-","5","0","1","-","-","3","4","4","4","-","-","-","-","-","-","-","-","-","-"
"Pedras Altas","4314175","-31.721699999990","-53.583799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","814","4.246","7.984","5.118","4.771","4.145","4.554","6.271","7.189","8.527","6.063","3.645","10.317","11.572","10.557","11.996","15.124","7.710","4.551","4.248","8.578"
"Pedro Os�rio","4314209","-31.864200000000","-52.818399999990","6.454","12.061","11.563","21.400","23.040","40.602","84.456","218.519","663.984","1.208.563","4.036.500","13.136","35.388","73.730","571.725","6.888","129.375","1.140.000","8.072.400","128.250","3.150","2.782","4.004","1.737","7.319","5.689","4.584","6.511","6.691","11.267","13.260","8.859","5.609","7.181","11.536","11.565","13.132","14.899","14.936","18.676","23.281","23.395","21.844","26.975","16.923","14.763","24.705","60.987"
"Peju�ara","4314308","-28.428300000000","-53.657899999990","165","360","384","444","-","536","1.239","1.095","5.925","6.192","11.956","84","324","966","640","95","2.438","12.865","164.000","704","15","33","11","10","25","19","6","16","22","36","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pelotas","4314407","-31.764900000000","-52.337100000000","31.817","68.370","76.744","77.040","104.312","164.688","402.800","837.900","1.896.300","4.611.756","13.242.250","48.346","136.500","258.000","1.646.160","12.450","360.640","2.872.800","27.380.115","419.160","11.186","10.544","11.194","9.412","9.896","11.963","9.801","15.345","16.291","27.030","36.783","13.141","15.014","24.653","42.971","37.245","41.019","27.686","27.987","35.410","37.127","46.983","50.664","56.976","45.124","54.562","64.539","133.157"
"Picada Caf�","4314423","-29.446400000000","-51.136699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12","2","3","3","2","2","3","1","1","2","3","3","-","2","2","4","4","3","1","1","2","2","1","1","2","2","2","2","2"
"Pinhal","4314456","-27.507999999990","-53.208199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","46","1.205","1.468","76.598","1.553","15","18","3","6","13","14","15","14","15","22","32","22","13","13","12","12","2","-","-","-","-","-","-","-","-","-","-","-"
"Pinhal da Serra","4314464","-27.863399999990","-51.170200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5","10","7","7","-","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.100","20","15","21","3","25","17","36","99","240","311","485","134","298","344","395","413","331","-","-","-","-","-","-","-","-","-","-","-"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","338","3","4","12","7","9","22","34","28","27","90","52","55","56","60","50","-","-","-","-","-","-","2","2","2","2","2","3","5"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","165","466","547","1.377","7.045","9.122","32.000","45.320","96.800","124.261","1.519.665","4.025","1.643","17.703","90.720","757","23.573","141.960","2.054.920","89.789","200","323","291","495","229","675","603","814","795","1.494","55","86","94","99","136","125","148","105","-","-","-","-","-","417","353","388","-","596"
"Pinto Bandeira","4314548","-29.000000000000","-54.000000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-"
"Pirap�","4314555","-28.043900000000","-55.200099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","21","587","18.660","169.400","2.888","80","50","10","53","50","-","31","5","5","13","5","-","3","9","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Piratini","4314605","-31.447299999990","-53.097299999990","1.651","2.665","2.179","14.580","29.000","6.092","105.600","28.560","73.227","145.606","441.840","1.652","4.368","6.888","21.832","399","22.719","161.280","3.600.912","42.476","1.147","1.568","1.407","1.444","1.705","1.478","1.267","1.531","1.395","3.284","4.049","2.328","2.136","2.297","3.146","2.804","2.680","1.920","2.300","2.965","2.931","3.407","3.872","4.778","3.725","4.604","4.190","7.576"
"Planalto","4314704","-27.329699999990","-53.057500000000","48","432","745","886","156","289","1.620","4.050","12.250","22.660","45.120","192","211","175","3.028","106","6.125","0","234.107","3.087","29","56","15","16","23","44","67","68","68","223","130","137","96","99","84","42","21","14","1","2","2","2","2","2","2","2","1","3"
"Po�o das Antas","4314753","-29.448100000000","-51.671900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","167","0","8.450","170","2","3","3","2","2","3","2","1","1","6","3","-","2","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Pont�o","4314779","-28.058499999990","-52.679099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.821","40","33","48","41","51","29","22","41","14","44","19","7","13","11","16","14","14","14","-","-","-","-","-","-","-","-","-","-"
"Ponte Preta","4314787","-27.658700000000","-52.484800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","919","7","16","7","12","9","5","5","4","5","4","3","-","6","5","11","3","6","10","-","-","-","-","-","-","-","-","-","-"
"Port�o","4314803","-29.701499999990","-51.242899999990","76","72","262","100","270","174","608","126","174","924","3.047","13","12","34","280","3","108","920","7.025","181","2","2","2","3","4","3","3","2","4","5","6","2","248","340","374","739","790","596","706","655","655","655","655","751","655","712","982","1.321"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","429","3.322","2.100","3.927","2.924","1.360","-","187","8.131","68.696","100.000","554","5.490","17.595","130.282","1.079","44.750","225.540","1.680.000","71.879","620","721","748","729","1.182","1.411","1.093","1.663","1.663","3.553","1.310","1.248","1.081","996","1.739","1.519","1.465","781","1.014","622","1.296","2.086","2.483","2.311","2.938","4.549","5.666","4.700"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","105","195","234","278","238","210","1.200","2.425","2.145","13.015","50.003","174","35","818","1.620","47","844","993","27.720","220","8","8","2","5","13","2","2","6","2","29","0","-","2","3","1","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Porto Mau�","4315057","-27.579599999990","-54.665700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","143","1","1","0","2","2","2","1","2","3","3","2","-","0","0","0","1","0","1","1","1","1","1","1","1","1","1","-","-"
"Porto Vera Cruz","4315073","-27.740500000000","-54.899400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","66","3","2","-","3","3","3","2","3","4","7","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","60","166","189","225","225","147","1.200","3.255","2.211","7.856","26.350","104","43","464","726","37","900","10.146","528.605","5.335","296","232","100","3","9","87","60","9","4","5","1","-","2","3","3","1","1","-","-","-","-","-","-","-","-","-","-","-"
"Pouso Novo","4315131","-29.173800000000","-52.213600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6","220","0","20.660","250","8","12","9","7","13","6","5","9","16","17","16","-","5","10","16","8","6","-","-","-","-","-","-","-","-","-","-","-"
"Presidente Lucena","4315149","-29.517600000000","-51.179800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","426","5","6","5","5","2","3","2","2","2","3","3","-","1","2","4","2","2","2","1","2","1","1","1","2","2","2","2","2"
"Progresso","4315156","-29.244199999990","-52.319699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","1.146","1.332","78.000","842","32","44","36","77","93","54","45","34","40","202","80","-","12","16","22","21","18","12","4","13","17","18","16","18","16","14","-","-"
"Prot�sio Alves","4315172","-28.757200000000","-51.475700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","62","1.896","4.800","89.232","2.318","17","18","4","5","6","5","6","5","3","13","15","7","5","5","9","4","6","-","-","-","-","-","-","-","-","-","-","-"
"Putinga","4315206","-29.004500000000","-52.156900000000","72","220","595","358","481","752","3.105","4.200","3.842","19.375","74.200","249","284","1.939","5.973","62","3.148","1.715","77.000","1.140","11","23","9","3","2","3","3","3","2","4","1","-","2","4","2","-","-","-","-","-","-","-","-","1","2","2","2","3"
"Quara�","4315305","-30.384000000000","-56.448300000000","4.037","8.667","12.275","19.440","38.063","74.995","175.500","253.555","672.904","2.449.475","9.744.384","35.092","75.567","187.050","2.013.803","12.611","334.948","2.651.825","30.619.485","882.705","4.597","9.365","8.743","9.894","12.990","14.148","8.741","20.726","29.566","35.378","42.451","21.484","35.802","24.625","46.620","51.129","56.310","39.548","39.829","47.345","61.180","76.376","66.190","77.498","63.341","78.364","94.959","157.904"
"Quatro Irm�os","4315313","-27.816299999990","-52.441899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3","2","1","1","1","1","1","3","1","4","5","1","-","-","-","-","-","-","-","-","-"
"Quevedos","4315321","-29.350400000000","-54.078899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.056","43","30","8","21","34","20","3","7","7","11","3","1","1","0","1","-","-","0","-","-","-","-","-","-","-","-","-","-"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","54","1.587","5.310","93.444","869","20","28","9","10","16","18","12","8","8","16","1","-","2","1","1","1","0","1","-","-","-","-","-","-","-","-","-","-"
"Redentora","4315404","-27.664000000000","-53.640700000000","489","648","810","729","40","-","1.820","2.202","2.100","9.548","32.115","275","250","398","1.887","41","1.069","3.252","70.916","1.799","109","108","22","49","93","80","84","84","84","120","380","91","96","96","96","96","65","9","2","-","-","-","-","-","-","-","-","-"
"Relvado","4315453","-29.116399999990","-52.077800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","770","1.184","28.490","323","3","7","4","5","5","8","8","7","2","4","3","-","3","4","3","2","4","2","1","1","1","1","1","2","2","2","-","-"
"Restinga S�ca","4315503","-29.818800000000","-53.380699999990","26.877","44.006","41.121","65.238","97.381","104.619","414.400","632.688","1.651.738","2.912.882","11.848.980","41.353","44.997","265.756","2.653.188","26.668","614.914","4.817.923","26.992.800","496.182","9.000","10.871","10.849","13.879","10.188","20.204","17.925","24.992","38.938","50.433","61.700","15.494","39.029","47.879","64.561","65.664","29.150","49.787","59.919","75.171","79.553","81.015","79.474","89.996","87.823","78.277","130.525","180.424"
"Rio dos �ndios","4315552","-27.297300000000","-52.841700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.575","10","15","9","9","7","9","9","11","3","2","1","-","2","4","2","5","4","5","5","5","2","8","3","3","-","-","-","-"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","44.003","51.949","67.794","61.560","63.591","194.472","266.220","1.095.623","2.654.496","6.547.948","23.940.000","93.850","212.160","514.080","3.703.860","53.836","1.604.366","9.392.726","114.191.160","3.543.792","14.323","21.939","13.227","26.065","26.470","28.382","23.088","26.556","26.433","42.591","53.277","45.416","41.436","55.653","85.232","81.821","87.538","72.840","83.377","104.976","124.229","141.956","136.121","142.727","119.465","142.350","207.970","332.384"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","38.923","81.222","82.543","90.090","218.470","156.778","561.500","1.221.000","2.357.415","5.641.244","18.605.000","53.841","118.125","344.238","1.703.495","22.888","802.300","3.166.800","38.880.000","1.079.376","6.331","7.133","6.000","8.704","7.461","10.804","9.458","10.253","17.682","30.887","35.885","24.539","18.317","21.343","24.272","24.965","29.504","44.604","36.404","43.426","40.169","46.575","32.826","48.795","42.595","45.931","57.147","122.324"
"Riozinho","4315750","-29.638999999990","-50.448799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7","480","1.822","16.925","360","5","7","5","6","7","14","8","8","11","9","25","17","6","6","7","9","8","2","2","2","3","3","4","3","3","2","2","-"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","91","144","114","101","143","46","153","753","549","1.875","12.586","32","36","178","1.704","13","354","0","24.650","276","10","13","2","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","48","1.142","824","616","130","47","2.160","5.400","13.650","29.700","73.920","353","520","450","16.353","243","8.619","0","115.056","1.779","18","24","11","19","23","21","31","25","25","82","48","51","51","52","44","20","10","36","2","-","1","-","-","-","-","-","-","-"
"Rolador","4315958","-28.257670000000","-54.818640000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","153","133","164","24","4","11","10","4","5","4","5","55","79","106","-","-","-","-","-","-","-"
"Rolante","4316006","-29.646200000000","-50.581899999990","268","243","216","593","1.020","950","1.776","5.148","7.391","27.901","58.369","298","966","786","-","228","8.412","47.688","484.901","8.820","76","99","7","30","31","16","16","24","95","185","825","526","141","156","187","273","244","246","591","799","881","909","1.380","1.700","1.491","1.894","2.285","3.687"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","127","1.046","427","1.458","1.176","200","6.200","3.413","2.700","56.482","109.800","684","1.768","3.006","2.992","254","7.067","-","905.518","6.081","39","76","31","72","59","47","20","21","24","19","8","3","5","5","6","5","4","-","-","-","-","-","-","-","-","-","-","-"
"Rondinha","4316204","-27.831499999990","-52.908099999990","382","169","855","379","216","24","1.736","1.958","1.218","11.748","13.806","40","59","103","833","15","555","0","25.319","234","2","5","13","6","6","11","6","7","8","10","12","2","5","5","6","3","3","-","-","-","-","-","-","-","-","-","-","-"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","100","315","540","642","646","378","2.048","3.500","2.079","6.666","9.920","25","21","751","1.890","20","267","355","38.500","3.795","290","119","2","3","6","4","5","6","2","6","4","-","3","3","4","1","4","-","-","-","-","-","-","-","-","-","-","-"
"Ros�rio do Sul","4316402","-30.251500000000","-54.922100000000","29.261","56.973","56.887","81.405","163.500","83.338","386.400","886.498","2.103.005","3.221.969","17.040.000","64.620","131.843","288.144","1.830.660","17.548","510.835","7.135.459","74.961.563","1.957.760","16.690","19.870","19.150","17.206","17.100","35.686","28.959","36.434","49.053","54.915","77.488","54.617","51.898","41.340","91.985","86.043","59.000","64.572","77.848","92.038","105.060","114.687","113.088","130.641","100.775","99.640","143.039","207.028"
"Sagrada Fam�lia","4316428","-27.708500000000","-53.135100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.038","41","26","5","11","23","10","10","9","10","14","22","12","16","15","14","14","1","-","-","-","-","-","-","-","-","-","-","-"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","23","613","587","69.485","1.310","9","15","7","14","17","3","5","5","8","13","6","-","5","5","4","4","5","4","3","3","4","-","-","-","-","-","-","-"
"Salto do Jacu�","4316451","-29.095099999990","-53.213299999990","...","...","...","...","...","...","...","...","...","5.820","26.580","63","109","369","1.570","30","1.396","5.380","201.000","6.336","22","66","21","13","69","41","24","14","24","40","33","4","12","11","16","8","8","3","6","-","-","-","-","-","-","-","-","-"
"Salvador das Miss�es","4316477","-28.123300000000","-54.837299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","72","3","3","-","-","-","-","-","-","-","-","0","-","2","2","1","-","1","1","1","1","-","-","-","-","-","-","-","-"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","960","1.120","1.320","1.221","720","900","11.368","11.124","6.720","28.542","141.120","582","116","1.149","4.576","48","1.615","1.680","101.880","1.345","8","15","8","5","6","6","6","5","2","4","4","-","4","5","6","9","9","4","4","4","4","4","4","7","3","3","2","5"
"Sananduva","4316600","-27.946999999990","-51.807899999990","149","405","1.035","503","287","-","3.504","3.203","7.560","15.683","40.404","148","120","1.007","4.541","4","346","0","64.167","1.534","15","20","8","14","15","10","4","4","4","4","5","-","5","6","6","7","3","4","-","2","2","-","-","-","-","-","-","-"
"Santa B�rbara do Sul","4316709","-28.365300000000","-53.250999999990","486","1.058","1.260","1.712","1.960","1.536","7.582","6.235","35.182","25.443","231.300","553","590","1.355","1.620","82","3.111","0","170.863","1.595","27","55","76","7","19","9","7","11","14","24","7","3","4","3","6","4","5","4","1","-","-","-","-","-","-","-","-","-"
"Santa Cec�lia do Sul","4316733","-28.153700000000","-51.929600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3","3","2","2","-","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santa Clara do Sul","4316758","-29.474699999990","-52.084299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","149","5","7","11","7","10","13","12","7","4","14","6","-","-","-","-","-","1","1","1","1","-","-","-","-","-","-","-","-"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","803","4.292","7.534","7.560","15.382","8.568","97.600","147.920","306.125","326.725","3.328.400","8.488","7.626","49.418","280.002","3.548","90.794","459.648","9.720.000","100.392","538","799","1.017","1.754","2.266","2.369","1.945","2.155","3.217","5.468","5.739","1.094","3.120","3.037","4.184","4.184","3.717","5.927","4.592","7.371","6.318","7.476","8.864","11.423","8.712","11.070","13.381","22.361"
"Santa Margarida do Sul","4316972","-30.329599999990","-54.082299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9.829","12.956","20.789","18.530","16.157","12.098","14.191","18.577","20.076","22.290","22.123","18.778","22.587","21.415","27.188","27.585","32.602","28.985","27.927","43.656","73.103"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","23.014","36.558","35.950","79.625","94.646","86.475","394.615","498.204","1.017.793","2.562.846","9.735.000","37.947","40.905","172.498","1.403.520","16.819","393.921","2.692.008","21.517.750","293.436","6.213","7.632","11.571","8.197","7.895","9.844","9.648","12.326","18.547","22.278","32.507","8.755","20.798","26.149","33.259","34.133","24.476","27.098","31.688","41.073","43.076","44.066","40.577","43.354","39.908","36.569","37.293","58.648"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","122","4.703","17.862","208.928","3.938","30","36","22","9","9","14","4","5","2","5","4","-","1","2","2","2","2","1","1","3","4","5","5","5","5","5","7","8"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","24","79","108","84","75","48","189","1.300","1.476","1.400","4.464","23","62","109","777","6","447","2.510","25.693","584","6","5","3","9","10","10","9","11","15","24","21","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santa Tereza","4317251","-29.165500000000","-51.735100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","263","1","2","0","1","1","1","1","1","1","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santa Vit�ria do Palmar","4317301","-33.524999999990","-53.371699999990","182.400","345.448","314.215","302.400","557.600","1.076.130","2.003.400","5.270.202","14.005.584","24.633.285","92.368.150","374.400","745.501","2.073.680","13.780.200","193.715","6.152.832","40.358.398","375.544.000","11.424.192","60.074","82.548","47.700","82.628","98.571","118.689","86.363","111.724","111.485","195.356","249.818","179.207","131.471","138.969","266.328","242.070","244.449","221.154","258.951","332.286","392.510","409.591","440.835","499.027","446.642","451.325","491.498","999.919"
