"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1974 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1975 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1976 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1977 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1978 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1979 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1980 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1981 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1982 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1983 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1984 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1985 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1986 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1987 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1988 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1989 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1990 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1991 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1992 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1993 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1994 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1995 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1996 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1997 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1998 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1999 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2000 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2001 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2002 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2003 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2004 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2005 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2006 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2007 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2008 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2009 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2010 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2011 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2012 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2013 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2014 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2015 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2016 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2017 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2018 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2019 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2020 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2021 (kg/ha)"
"Bozano","4302584","-28.367460000000","-53.772239999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.500","2.500","3.000","1.500","500","2.500","2.500","2.600","2.400","2.400","2.600","2.000","-","-","-","-","-","-","-","-","-"
"Braga","4302600","-27.617300000000","-53.740499999990","900","1.800","1.884","1.800","600","-","2.000","1.600","500","1.000","900","600","150","1.400","600","1.500","1.500","600","1.788","2.720","2.720","2.720","2.000","3.325","3.325","2.800","2.800","2.190","2.579","2.933","2.933","2.222","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Brochier","4302659","-29.550100000000","-51.594499999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.846","1.000","1.000","1.500","1.500","1.500","1.500","1.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","750","2.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","3.000","3.000","7.000","3.000"
"Buti�","4302709","-30.117899999990","-51.960099999990","2.842","3.257","2.949","3.160","3.078","2.750","3.250","3.800","3.700","3.327","4.050","4.300","4.500","3.900","4.000","5.000","4.500","4.200","4.000","5.000","4.000","4.000","6.000","4.000","4.000","5.000","4.200","4.257","4.800","3.750","4.360","3.500","5.000","5.000","5.000","6.900","5.000","6.500","6.300","6.550","6.250","6.250","6.425","6.500","6.306","7.300","7.500","9.000"
"Ca�apava do Sul","4302808","-30.514399999990","-53.482700000000","3.548","3.792","3.842","4.092","3.500","2.830","4.667","4.500","4.000","2.795","3.464","4.295","2.500","3.500","4.988","5.586","5.586","4.739","5.200","5.494","4.188","5.980","5.256","7.000","4.487","5.485","5.476","5.500","5.400","4.000","5.746","6.375","4.950","4.950","6.250","6.500","6.500","7.395","7.500","7.500","7.600","8.050","7.500","7.600","7.500","7.419","7.997","8.094"
"Cacequi","4302907","-29.888300000000","-54.822000000000","3.048","3.382","2.849","4.000","3.800","2.696","3.685","4.200","4.440","2.457","4.100","4.000","2.586","4.300","4.310","4.600","3.800","4.200","4.300","4.500","4.320","4.800","4.500","4.800","2.700","5.000","4.500","4.800","4.750","4.200","4.700","5.151","6.000","6.000","6.700","6.100","4.300","6.975","5.970","6.600","6.950","7.000","5.990","6.800","6.750","5.975","7.200","7.700"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","2.985","3.622","3.399","3.440","3.599","3.268","3.600","4.200","3.590","3.357","4.491","4.491","3.484","4.938","4.985","5.750","4.800","5.000","4.800","5.300","4.200","5.398","5.227","5.300","4.100","6.060","5.686","5.448","5.930","4.408","5.734","6.256","6.478","6.765","6.890","6.896","5.430","7.061","7.326","7.251","6.500","7.099","6.500","7.089","7.700","7.000","7.250","8.100"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","3.653","3.214","4.431","4.500","4.000","534","3.000","3.500","3.553","3.500","4.000","4.600","5.050","5.148","4.500","4.950","4.300","6.000","6.000","5.200","5.111","5.111","5.083","5.250","5.250","5.250","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","1.000","2.000","2.000","2.000","600","100","1.204","1.000","900","1.200","1.200","1.200","1.200","1.200","1.600","1.500","1.500","407","1.500","1.500","1.500","1.500","1.077","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","-","2.000","-","-","-","-","-","-","-","-","-"
"Caibat�","4303301","-28.290500000000","-54.645400000000","899","1.818","1.606","3.700","3.627","2.400","3.620","1.813","1.821","2.443","2.271","2.037","2.000","3.875","3.763","5.136","5.610","5.000","6.034","5.721","4.326","4.830","5.500","6.245","4.698","4.614","4.707","5.893","5.390","4.917","4.038","3.320","4.307","4.307","4.773","6.000","-","-","-","10.000","10.000","7.500","8.000","8.000","8.000","5.000","10.000","10.000"
"Cai�ara","4303400","-27.279100000000","-53.425699999990","1.000","2.000","2.000","2.000","-","-","2.000","1.401","600","803","1.000","1.000","1.000","1.200","779","1.300","3.000","-","2.846","3.500","3.500","3.500","-","3.500","3.500","3.500","3.500","3.500","3.500","3.500","3.500","3.500","3.500","3.500","3.500","1.500","1.500","1.500","1.500","1.500","3.000","3.000","3.000","3.000","2.400","3.000","3.000","3.000"
"Camaqu�","4303509","-30.848900000000","-51.804299999990","3.300","3.867","3.525","3.850","4.095","3.467","4.000","4.600","4.600","4.200","4.800","4.799","4.499","4.498","4.750","5.246","4.495","4.995","4.548","4.827","4.498","5.495","5.500","4.797","3.998","5.497","5.876","5.547","5.817","5.400","6.746","6.150","5.850","6.404","5.913","6.634","5.794","6.805","7.035","7.420","7.100","7.550","7.150","7.870","7.199","7.200","8.471","9.390"
"Camargo","4303558","-28.588000000000","-52.200299999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.200","-","1.500","1.500","1.500","1.500","1.080","1.100","1.300","1.300","1.400","1.600","1.600","2.200","1.600","-","1.500","1.500","1.500","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Cambar� do Sul","4303608","-29.047400000000","-50.146500000000","900","1.600","1.800","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.438","1.533","-","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campina das Miss�es","4303707","-27.988800000000","-54.841700000000","1.038","2.000","2.000","2.000","1.000","400","1.500","1.393","1.000","1.500","1.500","1.800","1.500","1.514","1.000","1.500","1.500","600","1.500","1.500","1.500","1.667","1.667","1.667","1.667","1.500","1.500","1.500","1.500","2.500","1.000","-","2.000","2.667","-","-","2.000","2.000","1.000","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","1.200","2.400","2.300","2.350","1.200","-","1.200","861","719","1.200","1.200","1.000","1.200","900","600","1.600","2.000","-","2.200","1.800","2.000","2.000","1.500","1.500","2.500","2.000","2.000","2.000","1.500","1.500","1.500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","1.400","1.400","2.000","1.400","1.200","919","1.350","1.200","1.040","1.167","1.700","2.400","2.000","1.000","2.500","5.125","4.319","3.851","5.000","4.490","1.788","3.000","1.000","-","-","4.496","6.000","5.505","2.000","-","7.000","7.500","7.500","7.500","7.500","8.000","8.000","6.000","6.000","8.000","8.000","8.000","-","-","-","-","-","-"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","900","2.400","1.800","1.800","810","100","1.800","1.796","1.162","1.200","1.600","1.303","903","1.976","1.204","2.143","2.317","2.333","4.015","4.514","3.623","3.657","2.769","2.240","2.240","2.240","2.240","2.240","2.240","2.240","2.240","2.000","2.900","1.667","1.667","-","-","4.500","4.500","4.500","4.500","-","-","-","-","-","-","-"
"Campos Borges","4304101","-28.887100000000","-53.000799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.800","300","2.415","1.800","1.800","2.100","1.500","800","2.100","2.100","1.500","2.400","2.050","2.400","400","-","2.000","2.200","2.500","2.400","2.600","2.500","2.500","-","-","-","-","-","-","-","-","-"
"Candel�ria","4304200","-29.668399999990","-52.789499999990","3.250","2.887","3.142","3.500","3.579","3.234","3.945","3.949","3.814","3.439","3.825","3.825","3.451","4.134","4.112","4.720","3.178","3.979","3.574","4.215","3.520","4.343","3.948","4.735","4.444","5.531","5.041","4.465","5.057","4.420","5.405","4.479","5.929","5.857","6.641","6.754","5.453","7.611","6.062","7.376","6.004","7.300","7.000","7.208","7.800","7.485","7.659","8.581"
"C�ndido God�i","4304309","-27.951499999990","-54.751700000000","1.077","2.000","2.000","2.000","1.000","500","1.500","2.267","1.000","1.511","2.000","2.000","1.200","1.800","1.129","1.613","1.613","323","2.500","2.486","2.314","2.040","1.600","1.800","1.800","1.600","1.600","2.800","2.000","2.444","1.667","667","1.556","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Candiota","4304358","-31.551500000000","-53.677300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.000","4.000","4.000","5.075","5.000","5.000","5.860","5.500","6.000","4.806","4.806","6.486","5.452","6.040","6.040","6.040","7.144","7.144","7.796","7.440","7.799","6.500","6.500","6.500","7.251","7.000","7.500","7.500","6.792"
"Canela","4304408","-29.356000000000","-50.811900000000","1.493","1.493","1.400","1.507","1.500","1.200","1.507","1.500","1.500","1.000","1.000","1.000","600","600","600","600","600","800","800","1.000","1.200","1.200","-","1.200","1.000","1.333","1.200","1.600","1.667","1.667","1.250","200","1.200","1.200","1.000","1.000","-","1.000","-","-","-","-","-","-","-","-","-","-"
"Cangu�u","4304507","-31.396000000000","-52.678199999990","3.297","3.870","3.318","4.000","4.000","2.320","3.516","4.501","4.501","4.500","4.500","4.500","4.500","4.500","5.000","4.949","4.679","4.655","4.655","5.475","4.979","4.985","4.985","4.983","4.983","5.475","5.475","5.475","5.475","4.963","4.952","5.173","6.288","5.583","6.156","8.317","5.887","8.587","7.704","8.382","7.700","7.800","7.314","7.630","7.500","7.749","7.490","8.606"
"Canoas","4304606","-29.912800000000","-51.185699999990","2.900","3.550","3.855","5.200","4.000","2.008","4.000","3.022","3.399","3.399","4.412","4.750","4.700","5.250","4.200","5.500","4.700","6.500","5.200","5.118","5.000","5.000","5.000","5.000","4.100","4.100","4.100","4.100","4.100","4.100","4.100","4.200","4.200","4.200","6.000","6.000","6.000","6.000","6.000","7.000","7.000","7.000","7.000","7.000","7.000","7.000","7.000","7.000"
"Canudos do Vale","4304614","-29.318700000000","-52.234499999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.200","1.200","1.200","1.200","200","1.667","1.667","1.667","1.667","1.667","1.667","1.000","1.500","-","-","-","-","-","-","-","-"
"Cap�o Bonito do Sul","4304622","-29.764199999990","-50.028199999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cap�o da Canoa","4304630","-29.639700000000","-49.959899999990","-","-","-","-","-","-","-","-","-","3.733","2.347","4.706","4.706","4.800","4.560","4.800","5.000","4.500","4.600","4.600","4.600","4.600","4.600","4.600","4.600","4.300","4.600","4.140","4.600","4.600","5.200","5.000","5.000","5.000","6.500","6.500","5.000","5.000","-","-","-","6.000","6.000","6.000","6.000","6.500","-","-"
"Cap�o do Cip�","4304655","-28.904000000000","-54.700000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.000","4.000","4.000","3.429","3.378","4.100","4.367","4.957","5.571","-","-","-","-","-","-","-","-","-","-","-"
"Cap�o do Le�o","4304663","-31.756499999990","-52.488900000000","-","-","-","-","-","-","-","-","-","4.000","4.750","4.750","4.750","5.500","5.500","4.675","4.500","6.000","6.000","6.000","5.700","5.700","5.700","5.700","3.999","5.996","4.796","5.996","4.998","4.998","6.237","5.984","6.888","7.618","6.815","7.718","7.300","8.533","8.088","8.130","8.400","8.550","7.344","9.450","8.860","8.931","9.688","9.800"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.979","3.600","3.060","3.600","3.600","3.600","3.600","3.600","5.000","5.000","5.000","5.000","5.000","5.000","5.000","5.000","4.000","5.000","5.000","5.000","5.000","5.000","5.000","5.000","6.500","6.500","6.500","6.500","7.500","6.500","6.500","7.500","8.600"
"Capit�o","4304697","-29.267399999990","-51.985300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.400","1.400","1.400","1.500","1.400","1.400","1.400","1.400","1.400","1.000","1.000","1.000","500","1.500","1.500","1.500","2.000","2.000","2.000","1.000","2.000","-","-","-","-","-","-","-","-"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.700","4.100","4.720","4.750","4.750","5.000","4.950","4.980","5.495","6.312","6.450","6.407","6.630","6.630","6.318","7.238","7.098","6.280","6.490","6.800","7.690","7.496","5.568","7.748","8.577"
"Cara�","4304713","-29.786899999990","-50.431600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.150","2.633","2.633","2.633","2.478","2.478","2.478","3.489","3.581","3.581","3.778","6.800","6.800","5.000","8.897","8.216","8.497","8.495","8.000","8.000","8.000","8.074","8.026","8.007","8.011"
"Carazinho","4304705","-28.295800000000","-52.793300000000","1.190","2.340","2.000","2.000","1.000","600","1.421","800","1.000","1.500","2.000","1.800","1.000","2.228","799","2.013","2.419","3.000","2.415","2.175","1.700","2.100","1.445","1.800","1.800","1.500","1.500","1.500","1.500","1.500","1.600","400","1.800","1.800","1.800","1.500","-","-","-","-","-","-","-","-","-","-","-","-"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","1.200","1.200","1.556","1.100","702","400","900","1.200","600","1.309","1.508","1.206","714","1.300","900","1.286","1.207","167","1.516","1.412","1.400","1.400","1.033","1.438","1.300","1.100","1.125","1.125","1.125","1.125","1.125","375","1.125","1.167","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.400","1.400","1.400","1.407","882","824","824","1.000","1.000","588","1.529","1.000","-","1.600","1.800","1.400","1.400","1.500","1.600","1.600","1.600","1.500","1.500","1.500","1.500","2.000","2.000","2.000","1.000"
"Casca","4304903","-28.560500000000","-51.981499999990","1.500","1.327","3.000","1.748","400","200","1.781","1.203","325","1.512","2.024","1.628","987","1.422","1.076","1.525","1.516","409","1.979","2.014","2.078","2.000","1.207","900","1.200","1.200","1.200","1.200","1.200","1.800","2.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Caseiros","4304952","-28.258199999990","-51.686100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","269","1.500","1.500","1.500","1.500","1.000","1.808","1.808","1.808","1.808","1.500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Catu�pe","4305009","-28.255400000000","-54.013199999990","900","1.975","2.394","1.800","1.600","920","2.725","1.597","1.376","1.800","1.929","1.929","1.200","1.571","750","2.000","2.000","1.000","2.914","2.250","3.250","3.500","3.200","3.867","4.000","3.500","3.300","4.029","3.782","3.250","3.178","1.000","1.200","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","1.200","1.400","1.803","1.200","1.200","1.200","1.200","1.200","905","1.000","1.000","1.000","800","1.700","1.525","2.000","2.000","500","1.800","1.800","1.800","1.800","875","1.600","1.600","1.600","1.600","1.667","1.667","1.667","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Centen�rio","4305116","-27.761600000000","-51.998399999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.200","1.200","1.200","770","700","1.200","900","900","1.200","600","1.500","311","-","1.000","1.400","2.000","2.000","2.000","1.800","1.400","1.800","1.800","2.500","2.600","3.000","2.000","2.400","1.500","1.000"
"Cerrito","4305124","-31.841899999990","-52.800400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.000","4.000","5.500","4.700","5.700","4.700","5.700","5.771","5.200","6.090","6.500","6.250","7.000","7.000","7.308","7.338","7.160","6.734","7.700","4.849","7.500","7.500","5.786","5.871","7.602"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.852","5.396","6.150","6.244","5.894","5.394","5.667","5.667","5.425","5.271","6.519","6.425","6.197","6.143","5.404","6.215","6.600","6.624","6.624","6.612","7.093","5.863","7.170","6.067","7.332","6.510","7.400","7.000","7.500","7.500","7.290","6.250","7.797"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.600","2.410","925","2.844","2.844","2.844","2.844","1.000","3.519","2.950","2.950","2.950","2.950","2.950","2.950","4.800","3.300","3.500","3.500","3.500","3.500","-","-","-","-","-","-","-","-","-","-","-","-"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.966","3.973","4.470","4.293","4.615","5.066","5.462","5.426","5.462","4.220","4.971","4.971","4.969","4.972","4.965","5.969","5.714","5.717","5.479","6.474","6.472","5.677","6.174","6.174","6.174","6.513","6.513","6.078","6.969","6.969","5.000","6.500","7.539"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","1.000","2.397","2.400","2.400","1.500","600","1.500","2.052","1.200","1.509","1.514","1.510","2.050","1.500","1.000","1.800","2.500","600","2.500","2.514","2.500","2.500","2.000","-","2.000","2.000","2.000","2.000","-","-","-","1.200","2.600","2.600","2.667","2.000","-","-","-","-","-","-","-","-","-","-","-","-"
"Chapada","4305306","-28.055900000000","-53.066499999990","900","2.250","1.800","1.869","700","200","2.000","1.099","917","1.100","1.500","450","500","1.200","500","1.500","2.000","100","3.000","3.000","3.000","3.000","1.300","3.000","3.000","3.000","3.000","3.000","3.000","3.000","3.000","1.600","2.000","2.000","2.000","2.000","3.000","2.000","1.800","1.800","1.800","1.800","2.000","2.000","2.000","2.000","2.000","-"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","-","-","-","-","-","-","-","-","-","3.600","4.300","3.500","4.049","3.751","4.400","4.000","3.500","4.400","4.000","4.000","4.000","4.000","5.615","5.000","5.000","5.000","5.000","5.500","-","6.000","6.000","6.000","5.500","5.500","5.500","6.300","6.500","7.000","6.760","7.300","6.700","7.000","6.900","7.400","7.500","7.660","7.500","7.500"
"Charrua","4305371","-27.949300000000","-52.015000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.520","1.520","1.057","1.040","1.067","1.067","1.067","1.067","1.067","1.067","1.067","-","1.100","1.100","600","1.200","1.200","1.200","1.200","1.200","1.333","-","-","-","-","-","-","-"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","1.000","2.000","2.000","2.000","1.800","500","2.000","1.500","1.000","1.699","2.471","1.597","1.860","2.618","1.040","1.489","1.615","1.900","2.486","2.893","5.071","5.200","4.500","4.727","4.155","4.315","3.822","4.625","3.667","3.714","3.714","2.450","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Chu�","4305439","-33.686599999990","-53.459400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.100","3.953","5.393","5.500","6.324","4.600","5.000","5.400","5.500","6.050","7.000","6.850","6.550","6.390","7.050","6.900","7.125","7.300","8.900","8.811","9.450","8.179","8.550","9.659","8.937"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.800","4.000","-","4.667","4.667","4.667","-","-","-","-","-","-","-","-","-","5.500","5.500","4.333","4.333","4.000","4.000","5.500","4.750","4.667","5.333"
"Cidreira","4305454","-30.160399999990","-50.233800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.900","4.100","4.100","5.000","4.600","4.100","4.600","4.650","4.600","4.599","4.800","4.699","4.700","5.200","4.851","5.675","5.675","6.355","6.353","6.236","6.842","6.841","6.650","7.263","6.755","6.755","6.410","6.710","6.600","6.701","6.700","6.622","7.918"
"Cir�aco","4305504","-28.341899999990","-51.874099999990","1.086","1.797","1.895","1.747","500","200","1.550","608","552","1.200","2.300","1.923","1.054","2.161","1.200","2.024","2.027","340","1.800","2.000","2.000","2.000","1.000","1.000","1.205","717","717","1.800","1.800","1.800","1.800","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colinas","4305587","-29.381499999990","-51.852600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.000","1.000","-","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colorado","4305603","-28.525800000000","-52.992800000000","1.200","2.040","2.000","2.000","900","500","1.800","1.500","1.200","1.300","1.727","2.214","500","1.900","914","2.114","1.800","-","4.091","3.000","3.000","3.000","1.444","1.800","2.000","2.000","1.667","2.000","1.750","1.750","1.750","1.000","1.750","1.750","1.750","1.750","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
